code,label,description,position,bookmark
1,"Classe 1 — Comptes de capitaux (Fonds propres, emprunts et dettes assimilés)",,Passif,
10,Fonds propres et réserves,,Passif,
102,Fonds propres sans droit de reprise,,Passif,
1021,Première situation nette établie,,Passif,
1022,Fonds statutaires,,Passif,
1023,Dotations non consomptibles,,Passif,
10231,Dotations non consomptibles initiales,,Passif,
10232,Dotations non consomptibles complémentaires,,Passif,
1024,Autres fonds propres sans droit de reprise,,Passif,
103,Fonds propres avec droit de reprise,,Passif,
1032,Fonds statutaires,,Passif,
1034,Autres fonds propres avec droit de reprise,,Passif,
105,Écarts de réévaluation,,Passif,
1051,Écarts de réévaluation sur biens sans droit de reprise,,Passif,
1052,Écarts de réévaluation sur biens avec droit de reprise,,Passif,
106,Réserves,,Passif,
1062,Réserves indisponibles,,Passif,
1063,Réserves statutaires,,Passif,
1064,Réserves réglementées,,Passif,
1068,Réserves pour projet de l’entité,Compte par défaut pour affecter le résultat annuel (excédent ou déficit).,Passif,Favori
108,Dotations consomptibles,,Passif,
1081,Dotations consomptibles,,Passif,
1089,Dotations consomptibles inscrites au compte de résultat,,Passif,
11,Report à nouveau,,Passif,
110,Report à nouveau - solde créditeur,,Passif,
119,Report à nouveau - solde débiteur,,Passif,
12,Résultat net de l’exercice,,Passif,
120,Résultat de l'exercice – excédent,,Passif,
129,Résultat de l'exercice – déficit,,Passif,
13,Subventions d’investissement,,Passif,
131,Subventions d'équipement,,Passif,
139,Subventions inscrites au compte de résultat,,Passif,
14,Provisions réglementées,,Passif,
148,Autres provisions réglementées,,Passif,
15,Provisions,,Passif,
151,Provisions pour risques,,Passif,
152,Provisions pour charges sur legs ou donations,,Passif,
153,Provisions pour pensions et obligations similaires,,Passif,
155,Provisions pour impôts,,Passif,
157,Provisions pour charges à répartir sur plusieurs exercices,,Passif,
158,Autres provisions pour charges,,Passif,
16,Emprunts et dettes assimilées,,Passif,
163,Autres emprunts obligataires,,Passif,
1631,Titres associatifs et assimilés,,Passif,
164,Emprunts auprès des établissements de crédit,,Passif,
165,Dépôts et cautionnements reçus,,Passif,
1651,Dépôts,,Passif,
1655,Cautionnements,,Passif,
167,Emprunts et dettes sous conditions particulières,,Passif,
168,Autres emprunts et dettes assimilées,,Passif,
18,Comptes de liaisons des établissements,,Passif,
181,Apports permanents entre siège social et établissements,,Passif,
185,Biens et prestations de services échangés entre établissements et siège social,,Passif,
186,Biens et prestations de services échangés entre établissements (charges),,Passif,
187,Biens et prestations de services échangés entre établissements (produits),,Passif,
19,Fonds dédiés ou reportés,,Passif,
191,Fonds reportés liés aux legs ou donations,,Passif,
1911,Legs ou donations,,Passif,
1912,Donations temporaires d’usufruit,,Passif,
194,Fonds dédiés sur subventions fonctionnement,,Passif,
195,Fonds dédiés sur contributions financières d’autres organismes,,Passif,
196,Fonds dédiés sur ressources liées à la générosité du public,,Passif,
2,Classe 2 — Comptes d'immobilisations,,Actif,
20,Immobilisations incorporelles,,Actif,
201,Frais d'établissement,,Actif,
203,Frais de recherche et développement,,Actif,
204,Donations temporaires d’usufruit,"L'usufruit est le droit d'utiliser un bien et d'en percevoir les revenus, sans en être propriétaire.",Actif,
205,"Concessions et droits similaires, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires",,Actif,
206,Droit au bail,,Actif,
208,Autres immobilisations incorporelles,,Actif,
21,Immobilisations corporelles,,Actif,
211,Terrains,,Actif,
212,Agencements / aménagements de terrains,,Actif,
2131,Bâtiments,,Actif,
2135,Installations générales - agencements - aménagements des constructions,Travaux sur les biens appartenant à l’association.,Actif,
214,Constructions sur sol d'autrui,,Actif,
215,"Installations techniques, matériel, outillage",,Actif,
2154,Matériel industriel,,Actif,
2155,Outillage industriel,,Actif,
218,Autres immobilisations corporelles,,Actif,
2181,"Installations, agencements, aménagements divers",Dont travaux sur les biens n’appartenant pas à l’association (exemple : rénovation d’un local loué ou prêté).,Actif,
2182,Matériel de transport,,Actif,
2183,Matériel bureau et informatique,,Actif,
2184,Mobilier,,Actif,
23,Immobilisations en cours,,Actif,
231,Immobilisations corporelles en cours,,Actif,
238,"Avances, acomptes sur immobilisations corporelles",,Actif,
24,Biens reçus par legs ou donations destinés à être cédés,,Actif,
26,Participations et créances rattachées à des participations,,Actif,
261,Titres de participation,,Actif,
266,Autres formes de participation,,Actif,
267,Créances rattachées à des participations,,Actif,
269,Versements restant à effectuer sur titres de participation non libérés,,Actif,
27,Autres immobilisations financières,,Actif,
271,Titres immobilisés (droit de propriété),,Actif,
272,Titres immobilisés (droit de créance),,Actif,
274,Prêts,,Actif,
2742,Prêts aux partenaires,Exemple : dépôt de garantie pour une location.,Actif,
275,Dépôts et cautionnements versés,,Actif,
276,Autres créances immobilisées,,Actif,
28,Amortissements des immobilisations,,Actif,
2801,Frais d'établissement,,Actif,
2804,Donations temporaires d’usufruit,,Actif,
2805,"Concessions et droits similaires, brevets, licences, solutions informatiques, droits et valeurs similaires",,Actif,
2806,Droit au bail,,Actif,
2808,Autres immobilisations incorporelles,,Actif,
2812,"Agencements, aménagements de terrains",,Actif,
2814,Constructions sur sol d'autrui,,Actif,
2815,"Installations, matériel et outillage industriels",,Actif,
28181,"Installations, agencements, aménagements",,Actif,
28182,Matériel de transport,,Actif,
28183,"Matériel de bureau, informatique",,Actif,
28184,Amortissements du mobilier,,Actif,
29,Dépréciations des immobilisations,,Actif,
2905,"Brevets, licences, marques…",,Actif,
2906,Droit au bail,,Actif,
2908,Autres immobilisations incorporelles,,Actif,
2911,Terrains,,Actif,
2931,Immobilisations corporelles en cours,,Actif,
2932,Immobilisations incorporelles en cours,,Actif,
294,Dépréciations des biens reçus par legs ou donations destinés à être cédés,,Actif,
2974,Prêts,,Actif,
2975,Dépôts et cautionnements versés,,Actif,
2976,Autres créances immobilisées,,Actif,
3,Classe 3 — Comptes de stocks,,Actif,
31,Matières premières et fournitures,,Actif,
318,Matières premières et fournitures,,Actif,
32,Autres approvisionnements,,Actif,
321,Matières consommables,,Actif,
322,Fournitures consommables,,Actif,
326,Emballages,,Actif,
33,En-cours de production de biens,,Actif,
331,Produits en cours,,Actif,
335,Travaux en cours,,Actif,
34,En-cours de production de services,,Actif,
341,Études en cours,,Actif,
345,Prestations de services en cours,,Actif,
35,Stocks de produits,,Actif,
351,Produits intermédiaires,,Actif,
355,Produits finis,,Actif,
358,Produits résiduels ou matières de récupération,,Actif,
37,Stocks de marchandises,,Actif,
370,Stocks de marchandises,,Actif,
39,Provisions pour dépréciations stocks et en-cours,,Actif,
391,Matières premières et fournitures,,Actif,
392,Autres approvisionnements,,Actif,
393,En-cours de production de biens,,Actif,
394,En-cours de production de services,,Actif,
395,Stocks de produits,,Actif,
397,Stocks de marchandises,,Actif,
4,Classe 4 — Comptes de tiers,,Actif ou passif,
40,Fournisseurs et comptes rattachés,,Actif ou passif,
401,Fournisseurs,,Actif ou passif,
4010,Autres fournisseurs,,Actif ou passif,Favori
403,Fournisseurs - Effets à payer,,Passif,
