code,label,description,position,type
1,"Classe 1 — Comptes de capitaux (Fonds propres, emprunts et dettes assimilés)",,Passif,
10,FONDS ASSOCIATIFS ET RÉSERVES,,Passif,
102,Fonds associatif sans droit de reprise,,Passif,
1021,Valeur du patrimoine intégré,,Passif,
1022,Fonds statutaire,,Passif,
1024,Apports sans droit de reprise,,Passif,
103,Fonds associatif avec droit de reprise,,Passif,
1034,Apports avec droit de reprise,,Passif,
105,Écarts de réévaluation,,Passif,
106,Réserves,,Passif,
1063,Réserves statutaires ou contractuelles,,Passif,
1064,Réserves réglementées,,Passif,
1068,Autres réserves (dont réserves pour projet associatif),,Passif,
11,REPORT À NOUVEAU,,Passif,
110,Report à nouveau (Solde créditeur),,Passif,
119,Report à nouveau (Solde débiteur),,Passif,
12,RÉSULTAT NET DE L'EXERCICE,,Passif,
120,Résultat de l'exercice (excédent),,Passif,Résultat excédentaire
129,Résultat de l'exercice (déficit),,Passif,Résultat déficitaire
13,SUBVENTIONS D'INVESTISSEMENT AFFECTÉES A DES BIENS NON RENOUVELABLES,,Passif,
131,Subventions d'investissement (renouvelables),,Passif,
139,Subventions d'investissement inscrites au compte de résultat,,Passif,
14,PROVISIONS REGLEMENTÉES,,Passif,
15,PROVISIONS,,Passif,
151,Provisions pour risques,,Passif,
157,Provisions pour charges à répartir sur plusieurs exercices,,Passif,
158,Autres provisions pour charges,,Passif,
16,EMPRUNTS ET DETTES ASSIMILÉES,,Passif,
164,Emprunts auprès des établissements de crédits,,Passif,
165,Dépôts et cautionnements reçus,,Passif,
167,Emprunts et dettes assorties de conditions particulières,,Passif,
168,Autres emprunts et dettes assimilés,,Passif,
17,DETTES RATTACHÉES À DES PARTICIPATIONS,,Passif,
18,COMPTES DE LIAISON DES ÉTABLISSEMENTS,,Passif,
181,Apports permanents entre siège social et établissements,,Passif,
185,Biens et prestations de services échangés entre établissements et siège social,,Passif,
186,Biens et prestations de services échangés entre établissements (charges),,Passif,
187,Biens et prestations de services échangés entre établissements (produits),,Passif,
19,FONDS DÉDIÉS,,Passif,
194,Fonds dédiés sur subventions de fonctionnement,,Passif,
195,Fonds dédiés sur dons manuels affectés,,Passif,
197,Fonds dédiés sur legs et donations affectés,,Passif,
198,Excédent disponible après affectation au projet associatif,,Passif,
199,Reprise des fonds affectés au projet associatif,,Passif,
2,Classe 2 — Comptes d'immobilisations,,Actif,
20,IMMOBILISATIONS INCORPORELLES,,Actif,
200,Immobilisations incorporelles,,Actif,
21,IMMOBILISATIONS CORPORELLES,,Actif,
210,Investissements,,Actif,
22,IMMOBILISATIONS GREVÉES DE DROITS,,Actif,
228,Immobilisations grevées de droits,,Actif,
229,Droits des propriétaires,,Actif,
23,IMMOBILISATIONS EN COURS,,Actif,
231,Immobilisations corporelles en cours,,Actif,
238,Avances et acomptes versés sur commande d'immobilisations corporelles,,Actif,
26,PARTICIPATIONS ET CRÉANCES RATTACHÉES A DES PARTICIPATIONS,,Actif,
261,Titres de participation,,Actif,
27,AUTRES IMMOBILISATIONS FINANCIÈRES,,Actif,
270,Participations financières,,Actif,
275,Dépôts et cautionnements versés,,Actif,
28,AMORTISSEMENTS DES IMMOBILISATIONS,,Actif,
280,Amortissements des immobilisations incorporelles,,Actif,
281,Amortissements des immobilisations corporelles,,Actif,
29,DÉPRÉCIATION DES IMMOBILISATIONS,,Actif,
290,Dépréciation des immobilisations incorporelles,,Actif,
291,Dépréciation des immobilisations corporelles,,Actif,
3,Classe 3 — Comptes de stocks,,Actif,
31,MATIERES PREMIERES ET FOURNITURES,,Actif,
311,Matières,,Actif,
317,Fournitures,,Actif,
32,AUTRES APPROVISIONNEMENTS,,Actif,
321,Matières consommables,,Actif,
322,Fournitures consommables,,Actif,
33,EN-COURS DE PRODUCTION DE BIENS,,Actif,
331,Produits en cours,,Actif,
335,Travaux en cours,,Actif,
34,EN-COURS DE PRODUCTION DE SERVICES,,Actif,
35,STOCKS DE PRODUITS,,Actif,
351,Produits intermédiaires,,Actif,
355,Produits finis,,Actif,
358,Produits résiduels,,Actif,
3581,Déchets,,Actif,
3585,Rebuts,,Actif,
3586,Matière de récupération,,Actif,
37,STOCKS DE MARCHANDISES,,Actif,
370,Autres stocks de marchandises,,Actif,
39,PROVISIONS POUR DEPRECIATION DES STOCKS ET EN-COURS,,Actif,
391,Provisions pour dépréciation des matières premières et fournitures,,Actif,
4,Classe 4 — Comptes de tiers,,Actif ou passif,
40,FOURNISSEURS ET COMPTES RATTACHÉS,,Passif,
401,Fournisseurs,,Passif,
4010,Autres fournisseurs,,Actif ou passif,Tiers
408,Fournisseurs - Factures non parvenues,,Passif,
409,Avances aux fournisseurs,,Actif,
41,USAGERS ET COMPTES RATTACHÉS,,Actif,
411,Usagers,,Actif,
4110,Autres usagers,,Actif ou passif,Tiers
419,Avances aux usagers,,Passif,
42,PERSONNEL ET COMPTES RATTACHÉS,,Passif,
421,Personnel - Rémunérations dues,,Passif,
4210,Autres membres du personnel,,Actif ou passif,
425,Personnel - Avances et acomptes,,Actif,
428,Personnel - Charges à payer et produits à recevoir,,Actif ou passif,
43,SÉCURITÉ SOCIALE ET AUTRES ORGANISMES SOCIAUX,,Passif,
430,Dettes et crédits envers les organismes sociaux,,Passif,
431,Sécurité sociale,,Passif,
437,Autres organismes sociaux,,Passif,
4372,Mutuelles,,Passif,
4373,Caisse de retraite et de prévoyance,,Passif,
4374,Caisse d'allocations de chômage - Pôle emploi,,Passif,
4375,AGESSA,,Passif,
4378,Autres organismes sociaux - Divers,,Passif,
438,Organismes sociaux - Charges à payer et produits à recevoir,,Actif ou passif,
4382,Charges sociales sur congés à payer,,Passif,
4386,Autres charges à payer,,Passif,
4387,Produits à recevoir,,Actif,
439,Avances auprès des organismes sociaux,,Passif,
44,ÉTAT ET AUTRES COLLECTIVITÉS PUBLIQUES,,Actif,
441,État - Subventions à recevoir,,Actif,
4411,Subventions d'investissement,,Actif,
4417,Subventions d'exploitation,,Actif,
4418,Subventions d'équilibre,,Actif,
4419,Avances sur subventions,,Actif,
442,État - Impôts et taxes recouvrables sur des tiers,,Passif,
444,État - Impôts sur les bénéfices,,Actif ou passif,
445,État - Taxes sur le chiffre d'affaires,,Actif ou passif,
4455,Taxes sur le chiffre d'affaires à décaisser,,Actif,
44551,TVA à décaisser,,Actif,
44558,Taxes assimilées à la TVA,,Actif,
4456,Taxes sur le chiffre d'affaires déductibles,,Actif,
44562,TVA sur immobilisations,,Actif,
44566,TVA sur autres biens et services,,Actif,
4457,Taxes sur le chiffre d'affaires collectées par l'association,,Actif,
4458,Taxes sur le chiffre d'affaires à régulariser ou en attente,,Actif,
44581,Acomptes - Régime simplifié d'imposition,,Actif,
44582,Acomptes - Régime du forfait,,Actif,
44583,Remboursement de taxes sur le chiffre d'affaires demandé,,Actif,
44584,TVA récupérée d'avance,,Actif,
44586,Taxes sur le chiffre d'affaires sur factures non parvenues,,Actif,
44587,Taxes sur le chiffre d'affaires sur factures à établir,,Actif,
447,"Autres impôts, taxes et versements assimilés",,Passif,
4471,"Autres impôts, taxes et versements assimilés sur rémunérations (Administration des impôts)",,Passif,
44711,Taxe sur les salaires,,Passif,
44713,Participation des employeurs à la formation professionnelle continue,,Passif,
44714,Cotisation par défaut d'investissement obligatoire dans la construction,,Passif,
44718,"Autres impôts, taxes et versements assimilés",,Passif,
4473,"Autres impôts, taxes et versements assimilés sur rémunérations (Autres organismes)",,Passif,
44733,Participation des employeurs à la formation professionnelle continue,,Passif,
44734,Participation des employeurs à l'effort de construction (versements à fonds perdus),,Passif,
4475,"Autres impôts, taxes et versements assimilés (Administration des impôts)",,Passif,
4477,"Autres impôts, taxes et versements assimilés (Autres organismes)",,Passif,
448,État - Charges à payer et produits à recevoir,,Passif,
4482,Charges fiscales sur congés à payer,,Passif,
4486,Autres charges à payer,,Passif,
